                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.594,                 5.2907,                 4.3544,                      0,                      0,                      0,                      0,                 3.4411,                 4.9944,                  4.159,              1.668e-05,              1.668e-05,              1.668e-05
                      2,                 3.5881,                 5.2346,                 4.3555,                      0,                      0,                      0,                      0,                 3.4421,                 4.9946,                 4.1585,             3.6993e-05,             3.6993e-05,             3.6993e-05
                      3,                 3.6028,                 5.1159,                 4.3342,                      0,                      0,                      0,                      0,                 3.4423,                      5,                 4.1589,             5.5105e-05,             5.5105e-05,             5.5105e-05
                      4,                 3.5952,                 4.9368,                 4.2612,                      0,                      0,                      0,                      0,                 3.4436,                 5.0046,                 4.1588,             7.1015e-05,             7.1015e-05,             7.1015e-05
                      5,                 3.4956,                 4.6711,                 4.2045,                      0,                      0,                      0,                      0,                 3.4472,                 5.0105,                   4.16,             8.4723e-05,             8.4723e-05,             8.4723e-05
                      6,                 3.5639,                 4.4169,                 4.1587,                      0,                      0,                      0,                      0,                 3.4486,                 5.0229,                 4.1614,              9.623e-05,              9.623e-05,              9.623e-05
                      7,                 3.5621,                 4.2205,                 4.1034,                      0,                      0,                      0,                      0,                 3.4506,                 5.0312,                 4.1645,             0.00010553,             0.00010553,             0.00010553
                      8,                 3.4118,                 4.0603,                  4.025,                      0,                      0,                      0,                      0,                 3.4587,                 5.0332,                 4.1678,             0.00011264,             0.00011264,             0.00011264
                      9,                 3.3718,                 3.8773,                  3.942,                      0,                      0,                      0,                      0,                 3.4659,                 5.0275,                 4.1712,             0.00011754,             0.00011754,             0.00011754
                     10,                 3.2685,                 3.6961,                 3.8739,                      0,                      0,                      0,                      0,                 3.4715,                 5.0192,                 4.1759,             0.00012024,             0.00012024,             0.00012024
                     11,                 3.0533,                 3.8037,                  3.777,                      0,                      0,                      0,                      0,                  3.502,                 5.0087,                 4.1851,             0.00012074,             0.00012074,             0.00012074
                     12,                 2.9131,                 3.6635,                 3.7209,                      0,                      0,                      0,                      0,                 3.5338,                 4.9995,                 4.1915,             0.00011903,             0.00011903,             0.00011903
                     13,                 2.9564,                 3.5602,                 3.7054,                      0,                      0,                      0,                      0,                 3.5668,                 4.9601,                 4.1927,             0.00011513,             0.00011513,             0.00011513
                     14,                  2.793,                 3.4329,                 3.6448,                      0,                      0,                      0,                      0,                 3.5999,                 4.8943,                 4.1851,             0.00010902,             0.00010902,             0.00010902
                     15,                 2.7128,                 3.2644,                 3.5801,                      0,                      0,                      0,                      0,                 3.6143,                 4.8536,                 4.1815,             0.00010071,             0.00010071,             0.00010071
                     16,                 2.6682,                 3.1698,                 3.5158,                      0,                      0,                      0,                      0,                 3.6166,                  4.876,                 4.1858,             9.0197e-05,             9.0197e-05,             9.0197e-05
                     17,                 2.7301,                 3.1439,                 3.5073,                      0,                      0,                      0,                      0,                 3.6285,                  4.896,                 4.1731,             7.7484e-05,             7.7484e-05,             7.7484e-05
                     18,                 2.6165,                 3.0895,                 3.4832,                      0,                      0,                      0,                      0,                 3.6319,                 4.9044,                 4.1719,             6.2569e-05,             6.2569e-05,             6.2569e-05
                     19,                 2.5716,                 2.9794,                  3.413,                      0,                      0,                      0,                      0,                 3.6325,                 4.9292,                 4.1739,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     20,                 2.6214,                 2.9217,                 3.3942,                      0,                      0,                      0,                      0,                 3.6322,                 4.9504,                 4.1767,             2.6135e-05,             2.6135e-05,             2.6135e-05
